DATE,PAYEMS_CHG_20220107,PAYEMS_CHG_20210205,PAYEMS_CHG_20210305,PAYEMS_CHG_20210402,PAYEMS_CHG_20210507,PAYEMS_CHG_20210604,PAYEMS_CHG_20210702,PAYEMS_CHG_20210806,PAYEMS_CHG_20210903,PAYEMS_CHG_20211008,PAYEMS_CHG_20211105,PAYEMS_CHG_20211203
1966-04-01,245,245,245,245,245,245,245,245,245,245,245,245
1966-05-01,275,275,275,275,275,275,275,275,275,275,275,275
1966-06-01,399,399,399,399,399,399,399,399,399,399,399,399
1966-07-01,190,190,190,190,190,190,190,190,190,190,190,190
1966-08-01,206,206,206,206,206,206,206,206,206,206,206,206
1966-09-01,136,136,136,136,136,136,136,136,136,136,136,136
1966-10-01,211,211,211,211,211,211,211,211,211,211,211,211
1966-11-01,165,165,165,165,165,165,165,165,165,165,165,165
1966-12-01,180,180,180,180,180,180,180,180,180,180,180,180
1967-01-01,208,208,208,208,208,208,208,208,208,208,208,208
1967-02-01,22,22,22,22,22,22,22,22,22,22,22,22
1967-03-01,101,101,101,101,101,101,101,101,101,101,101,101
1967-04-01,-64,-64,-64,-64,-64,-64,-64,-64,-64,-64,-64,-64
1967-05-01,154,154,154,154,154,154,154,154,154,154,154,154
1967-06-01,130,130,130,130,130,130,130,130,130,130,130,130
1967-07-01,138,138,138,138,138,138,138,138,138,138,138,138
1967-08-01,255,255,255,255,255,255,255,255,255,255,255,255
1967-09-01,21,21,21,21,21,21,21,21,21,21,21,21
1967-10-01,61,61,61,61,61,61,61,61,61,61,61,61
1967-11-01,478,478,478,478,478,478,478,478,478,478,478,478
1967-12-01,197,197,197,197,197,197,197,197,197,197,197,197
1968-01-01,-96,-96,-96,-96,-96,-96,-96,-96,-96,-96,-96,-96
1968-02-01,411,411,411,411,411,411,411,411,411,411,411,411
1968-03-01,80,80,80,80,80,80,80,80,80,80,80,80
1968-04-01,261,261,261,261,261,261,261,261,261,261,261,261
1968-05-01,96,96,96,96,96,96,96,96,96,96,96,96
1968-06-01,253,253,253,253,253,253,253,253,253,253,253,253
1968-07-01,221,221,221,221,221,221,221,221,221,221,221,221
1968-08-01,204,204,204,204,204,204,204,204,204,204,204,204
1968-09-01,154,154,154,154,154,154,154,154,154,154,154,154
1968-10-01,237,237,237,237,237,237,237,237,237,237,237,237
1968-11-01,263,263,263,263,263,263,263,263,263,263,263,263
1968-12-01,264,264,264,264,264,264,264,264,264,264,264,264
1969-01-01,191,191,191,191,191,191,191,191,191,191,191,191
1969-02-01,260,260,260,260,260,260,260,260,260,260,260,260
1969-03-01,206,206,206,206,206,206,206,206,206,206,206,206
1969-04-01,167,167,167,167,167,167,167,167,167,167,167,167
1969-05-01,256,256,256,256,256,256,256,256,256,256,256,256
1969-06-01,308,308,308,308,308,308,308,308,308,308,308,308
1969-07-01,93,93,93,93,93,93,93,93,93,93,93,93
1969-08-01,279,279,279,279,279,279,279,279,279,279,279,279
1969-09-01,-94,-94,-94,-94,-94,-94,-94,-94,-94,-94,-94,-94
1969-10-01,207,207,207,207,207,207,207,207,207,207,207,207
1969-11-01,-35,-35,-35,-35,-35,-35,-35,-35,-35,-35,-35,-35
1969-12-01,155,155,155,155,155,155,155,155,155,155,155,155
1970-01-01,-65,-65,-65,-65,-65,-65,-65,-65,-65,-65,-65,-65
1970-02-01,129,129,129,129,129,129,129,129,129,129,129,129
1970-03-01,146,146,146,146,146,146,146,146,146,146,146,146
1970-04-01,-103,-103,-103,-103,-103,-103,-103,-103,-103,-103,-103,-103
1970-05-01,-224,-224,-224,-224,-224,-224,-224,-224,-224,-224,-224,-224
1970-06-01,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95
1970-07-01,24,24,24,24,24,24,24,24,24,24,24,24
1970-08-01,-116,-116,-116,-116,-116,-116,-116,-116,-116,-116,-116,-116
1970-09-01,7,7,7,7,7,7,7,7,7,7,7,7
1970-10-01,-423,-423,-423,-423,-423,-423,-423,-423,-423,-423,-423,-423
1970-11-01,-112,-112,-112,-112,-112,-112,-112,-112,-112,-112,-112,-112
1970-12-01,383,383,383,383,383,383,383,383,383,383,383,383
1971-01-01,73,73,73,73,73,73,73,73,73,73,73,73
1971-02-01,-58,-58,-58,-58,-58,-58,-58,-58,-58,-58,-58,-58
